,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Expiration,Spot Price
654,SPX230915C04425000,2023-07-10 1:39PM EDT,4425.0,104.0,104.4,105.2,1.68,+1.64%,1500,11906,15.07%,0.26587301587301587,4398.950195
655,SPX230915C04430000,2023-07-10 1:00PM EDT,4430.0,100.5,101.6,102.5,-1.5,-1.47%,1736,8162,15.01%,0.26587301587301587,4398.950195
656,SPX230915C04435000,2023-07-10 1:29PM EDT,4435.0,98.5,98.0,98.8,-0.5,-0.51%,3950,6728,14.82%,0.26587301587301587,4398.950195
657,SPX230915C04440000,2023-07-10 1:43PM EDT,4440.0,94.7,94.9,95.7,-2.3,-2.37%,2484,6168,14.70%,0.26587301587301587,4398.950195
658,SPX230915C04445000,2023-07-10 10:32AM EDT,4445.0,93.5,92.4,93.2,0.5,+0.54%,955,4428,14.66%,0.26587301587301587,4398.950195
659,SPXW230915C04450000,2023-07-10 1:29PM EDT,4450.0,90.4,89.8,90.1,-0.3,-0.33%,484,1733,14.53%,0.26587301587301587,4398.950195
660,SPXW230915C04455000,2023-07-10 12:06PM EDT,4455.0,81.0,87.2,87.5,-13.1,-13.92%,243,224,14.47%,0.26587301587301587,4398.950195
661,SPX230915C04460000,2023-07-10 1:19PM EDT,4460.0,82.27,83.3,83.9,-6.73,-7.56%,22,2874,14.26%,0.26587301587301587,4398.950195
662,SPXW230915C04465000,2023-07-10 12:09PM EDT,4465.0,74.8,81.4,81.7,-17.1,-18.61%,231,186,14.24%,0.26587301587301587,4398.950195
663,SPX230915C04470000,2023-07-07 2:43PM EDT,4470.0,75.8,78.0,78.6,-14.0,-15.59%,30,4371,14.09%,0.26587301587301587,4398.950195
664,SPXW230915C04475000,2023-07-10 12:09PM EDT,4475.0,69.6,76.1,76.4,-4.47,-6.03%,24,1709,14.06%,0.26587301587301587,4398.950195
665,SPX230915C04480000,2023-07-10 10:13AM EDT,4480.0,74.57,72.4,73.0,-2.75,-3.56%,17,8057,13.85%,0.26587301587301587,4398.950195
666,SPXW230915C04485000,2023-07-10 12:07PM EDT,4485.0,65.3,70.8,71.0,-6.2,-8.67%,30,337,13.84%,0.26587301587301587,4398.950195
667,SPXW230915C04490000,2023-07-07 2:48PM EDT,4490.0,78.65,68.3,68.5,0.0,-,17,436,13.75%,0.26587301587301587,4398.950195
668,SPXW230915C04495000,2023-07-10 1:01PM EDT,4495.0,65.11,65.6,65.9,-18.69,-22.30%,14,262,13.64%,0.26587301587301587,4398.950195
669,SPXW230915C04500000,2023-07-10 12:18PM EDT,4500.0,58.6,63.3,63.5,-2.97,-4.82%,4,689,13.55%,0.26587301587301587,4398.950195
670,SPXW230915C04505000,2023-07-07 3:47PM EDT,4505.0,62.0,60.7,61.0,0.0,-,42,259,13.44%,0.26587301587301587,4398.950195
671,SPXW230915C04510000,2023-07-10 11:45AM EDT,4510.0,55.67,58.4,58.7,-3.43,-5.80%,200,422,13.35%,0.26587301587301587,4398.950195
672,SPXW230915C04515000,2023-07-10 11:03AM EDT,4515.0,52.54,56.2,56.5,-12.96,-19.79%,200,263,13.27%,0.26587301587301587,4398.950195
673,SPXW230915C04520000,2023-07-10 1:41PM EDT,4520.0,54.12,54.1,54.4,-10.08,-15.70%,238,585,13.20%,0.26587301587301587,4398.950195
674,SPXW230915C04525000,2023-07-10 10:27AM EDT,4525.0,50.8,51.9,52.2,-6.03,-10.61%,215,737,13.11%,0.26587301587301587,4398.950195
675,SPXW230915C04530000,2023-07-10 9:37AM EDT,4530.0,50.13,49.7,50.0,-0.47,-0.93%,1,318,13.01%,0.26587301587301587,4398.950195
676,SPXW230915C04535000,2023-07-10 10:31AM EDT,4535.0,47.05,48.0,48.3,-1.15,-2.39%,53,130,12.98%,0.26587301587301587,4398.950195
677,SPXW230915C04540000,2023-07-07 2:53PM EDT,4540.0,53.5,45.8,46.1,0.0,-,6,304,12.86%,0.26587301587301587,4398.950195
678,SPXW230915C04545000,2023-07-07 3:01PM EDT,4545.0,43.3,43.8,44.1,-7.7,-15.10%,4,306,12.77%,0.26587301587301587,4398.950195
679,SPXW230915C04550000,2023-07-10 10:27AM EDT,4550.0,43.62,42.0,42.2,-5.48,-11.16%,12,2762,12.69%,0.26587301587301587,4398.950195
680,SPXW230915C04555000,2023-07-10 11:20AM EDT,4555.0,37.7,40.3,40.6,-7.4,-16.41%,21,509,12.65%,0.26587301587301587,4398.950195
681,SPXW230915C04560000,2023-07-10 11:35AM EDT,4560.0,37.5,38.5,38.7,-14.7,-28.16%,14,489,12.55%,0.26587301587301587,4398.950195
682,SPXW230915C04565000,2023-07-10 11:16AM EDT,4565.0,34.5,36.7,37.0,-8.7,-20.14%,29,172,12.48%,0.26587301587301587,4398.950195
683,SPXW230915C04570000,2023-07-10 9:36AM EDT,4570.0,35.0,35.1,35.3,-0.2,-0.57%,15,374,12.40%,0.26587301587301587,4398.950195
684,SPXW230915C04575000,2023-07-10 1:01PM EDT,4575.0,33.05,33.6,33.9,-2.57,-7.22%,66,930,12.37%,0.26587301587301587,4398.950195
685,SPXW230915C04580000,2023-07-10 3:50AM EDT,4580.0,28.5,32.0,32.3,-3.6,-11.21%,25,186,12.29%,0.26587301587301587,4398.950195
686,SPX230915C04585000,2023-07-10 3:41AM EDT,4585.0,26.53,29.9,30.3,-6.57,-19.85%,2,76,12.14%,0.26587301587301587,4398.950195
687,SPXW230915C04590000,2023-07-10 10:09AM EDT,4590.0,30.9,28.9,29.2,-4.35,-12.34%,4,230,12.13%,0.26587301587301587,4398.950195
688,SPX230915C04595000,2023-06-30 2:22PM EDT,4595.0,44.3,27.0,27.5,0.0,-,65,188,12.01%,0.26587301587301587,4398.950195
689,SPX230915C04600000,2023-07-10 12:26PM EDT,4600.0,24.18,26.0,26.3,-1.22,-4.80%,7,22863,11.97%,0.26587301587301587,4398.950195
690,SPXW230915C04605000,2023-07-10 1:33PM EDT,4605.0,25.2,25.0,25.2,-6.1,-19.49%,79,206,11.95%,0.26587301587301587,4398.950195
691,SPXW230915C04610000,2023-07-10 11:36AM EDT,4610.0,23.4,23.8,24.0,-5.8,-19.86%,131,217,11.90%,0.26587301587301587,4398.950195
692,SPXW230915C04615000,2023-07-06 2:07PM EDT,4615.0,26.4,22.6,22.8,0.0,-,-,15,11.84%,0.26587301587301587,4398.950195
693,SPX230915C04620000,2023-07-07 3:44PM EDT,4620.0,22.6,21.1,21.5,0.0,-,254,386,11.75%,0.26587301587301587,4398.950195
694,SPXW230915C04625000,2023-07-07 1:15PM EDT,4625.0,29.61,20.5,20.7,0.0,-,37,431,11.76%,0.26587301587301587,4398.950195
695,SPX230915C04630000,2023-07-10 10:10AM EDT,4630.0,20.46,19.0,19.4,-0.7,-3.31%,313,1665,11.65%,0.26587301587301587,4398.950195
696,SPXW230915C04640000,2023-07-07 3:22PM EDT,4640.0,20.6,17.4,17.6,0.0,-,223,171,11.59%,0.26587301587301587,4398.950195
697,SPXW230915C04650000,2023-07-10 11:53AM EDT,4650.0,14.95,15.7,16.0,-6.2,-29.31%,1,2075,11.54%,0.26587301587301587,4398.950195
698,SPXW230915C04660000,2023-07-07 8:41AM EDT,4660.0,16.5,14.1,14.3,0.0,-,38,194,11.44%,0.26587301587301587,4398.950195
699,SPXW230915C04670000,2023-07-07 12:34PM EDT,4670.0,16.7,12.7,12.9,0.0,-,30,142,11.39%,0.26587301587301587,4398.950195
700,SPX230915C04675000,2023-07-10 11:13AM EDT,4675.0,10.69,11.5,11.9,-7.51,-41.26%,1,2237,11.27%,0.26587301587301587,4398.950195
701,SPXW230915C04680000,2023-07-05 3:33PM EDT,4680.0,20.4,11.2,11.5,0.0,-,118,391,11.30%,0.26587301587301587,4398.950195
702,SPX230915C04690000,2023-07-10 1:30PM EDT,4690.0,9.95,9.7,10.1,-1.7,-14.59%,806,371,11.18%,0.26587301587301587,4398.950195
703,SPX230915C04700000,2023-07-10 1:36PM EDT,4700.0,8.64,8.8,9.0,-0.15,-1.71%,670,19548,11.12%,0.26587301587301587,4398.950195
704,SPX230915C04710000,2023-07-07 4:03PM EDT,4710.0,8.1,7.8,8.0,0.0,-,218,547,11.06%,0.26587301587301587,4398.950195
705,SPX230915C04720000,2023-07-07 3:14PM EDT,4720.0,8.88,7.0,7.2,0.0,-,268,569,11.04%,0.26587301587301587,4398.950195
706,SPXW230915C04725000,2023-07-07 1:58PM EDT,4725.0,9.7,6.6,6.8,0.0,-,3,262,11.02%,0.26587301587301587,4398.950195
707,SPX230915C04730000,2023-07-10 10:11AM EDT,4730.0,6.7,6.2,6.4,0.2,+3.08%,2,154,10.99%,0.26587301587301587,4398.950195
708,SPX230915C04740000,2023-07-10 10:10AM EDT,4740.0,6.05,5.5,5.7,0.25,+4.31%,1,1154,10.96%,0.26587301587301587,4398.950195
709,SPX230915C04750000,2023-07-10 1:36PM EDT,4750.0,4.8,4.8,5.0,-3.34,-41.03%,23,5302,10.89%,0.26587301587301587,4398.950195
710,SPXW230915C04760000,2023-07-07 3:11PM EDT,4760.0,5.78,4.4,4.6,0.0,-,2,2,10.94%,0.26587301587301587,4398.950195
711,SPXW230915C04770000,2023-07-10 9:38AM EDT,4770.0,4.1,3.9,4.1,-1.1,-21.15%,24,26,10.92%,0.26587301587301587,4398.950195
712,SPXW230915C04775000,2023-07-10 10:22AM EDT,4775.0,4.09,3.7,3.9,-1.81,-30.68%,5,174,10.93%,0.26587301587301587,4398.950195
713,SPX230915C04780000,2023-07-10 10:05AM EDT,4780.0,3.7,3.3,3.5,-1.0,-21.28%,1,155,10.82%,0.26587301587301587,4398.950195
714,SPXW230915C04800000,2023-07-10 1:20PM EDT,4800.0,2.8,2.8,2.95,-0.3,-9.68%,10,188,10.92%,0.26587301587301587,4398.950195
715,SPX230915C04825000,2023-07-07 4:03PM EDT,4825.0,2.2,2.0,2.15,0.0,-,9,2068,10.85%,0.26587301587301587,4398.950195
716,SPXW230915C04850000,2023-07-07 10:56AM EDT,4850.0,2.02,1.6,1.7,0.0,-,1,174,10.95%,0.26587301587301587,4398.950195
717,SPXW230915C04875000,2023-07-07 3:02PM EDT,4875.0,1.7,1.25,1.35,0.0,-,6,211,11.05%,0.26587301587301587,4398.950195
718,SPX230915C04900000,2023-07-10 1:12PM EDT,4900.0,0.95,0.95,1.05,-0.05,-5.00%,158,5937,11.13%,0.26587301587301587,4398.950195
719,SPX230915C04925000,2023-07-07 4:01PM EDT,4925.0,0.8,0.75,0.85,0.0,-,45,980,11.26%,0.26587301587301587,4398.950195
720,SPX230915C04950000,2023-07-10 12:20PM EDT,4950.0,0.6,0.6,0.65,-0.4,-40.00%,52,515,11.32%,0.26587301587301587,4398.950195
721,SPX230915C04975000,2023-07-07 2:46PM EDT,4975.0,0.65,0.5,0.6,0.0,-,51,414,11.63%,0.26587301587301587,4398.950195
722,SPXW230915C05000000,2023-07-06 11:28AM EDT,5000.0,0.6,0.4,0.5,0.0,-,16,657,11.79%,0.26587301587301587,4398.950195
723,SPX230915C05050000,2023-07-10 12:46PM EDT,5050.0,0.3,0.25,0.35,-0.1,-25.00%,264,3202,12.12%,0.26587301587301587,4398.950195
724,SPXW230915C05100000,2023-06-27 12:38PM EDT,5100.0,0.26,0.2,0.3,0.0,-,4,34,12.68%,0.26587301587301587,4398.950195
725,SPX230915C05150000,2023-07-07 9:37AM EDT,5150.0,0.25,0.15,0.2,0.0,-,1,2910,12.90%,0.26587301587301587,4398.950195
726,SPX230915C05200000,2023-07-06 8:27AM EDT,5200.0,0.2,0.1,0.2,0.0,-,10,4697,13.61%,0.26587301587301587,4398.950195
727,SPX230915C05300000,2023-06-30 12:33PM EDT,5300.0,0.1,0.05,0.15,0.0,-,3,4337,14.62%,0.26587301587301587,4398.950195
728,SPX230915C05400000,2023-06-23 10:49AM EDT,5400.0,0.1,0.05,0.1,0.0,-,40,4258,15.41%,0.26587301587301587,4398.950195
729,SPXW230915C05500000,2023-07-05 9:32AM EDT,5500.0,0.1,0.0,0.1,0.0,-,5,181,16.65%,0.26587301587301587,4398.950195
730,SPX230915C05600000,2023-07-06 9:50AM EDT,5600.0,0.07,0.0,0.1,0.0,-,4,1432,17.90%,0.26587301587301587,4398.950195
731,SPX230915C05800000,2023-07-06 10:24AM EDT,5800.0,0.07,0.0,0.1,0.0,-,2,1121,20.26%,0.26587301587301587,4398.950195
732,SPX230915C06000000,2023-06-05 1:44PM EDT,6000.0,0.1,0.0,0.1,0.0,-,100,1994,22.51%,0.26587301587301587,4398.950195
733,SPXW230915C06200000,2023-06-01 9:41AM EDT,6200.0,0.05,0.0,0.1,0.0,-,3,52,24.66%,0.26587301587301587,4398.950195
734,SPXW230915C06400000,2023-05-25 10:10AM EDT,6400.0,0.07,0.0,0.1,0.0,-,-,0,26.76%,0.26587301587301587,4398.950195
735,SPX230915C06600000,2023-07-06 12:00PM EDT,6600.0,0.05,0.0,0.05,0.0,-,3,387,27.34%,0.26587301587301587,4398.950195
736,SPX230915C06800000,2023-04-27 12:50PM EDT,6800.0,0.05,0.0,0.1,0.0,-,156,111,30.66%,0.26587301587301587,4398.950195
737,SPX230915C07000000,2023-06-15 10:04AM EDT,7000.0,0.03,0.0,0.05,0.0,-,300,842,30.96%,0.26587301587301587,4398.950195
738,SPXW230915C07200000,2023-06-26 2:47PM EDT,7200.0,0.03,0.0,0.05,0.0,-,2,2,32.72%,0.26587301587301587,4398.950195
739,SPXW230915C07300000,2023-06-23 2:15PM EDT,7300.0,0.05,0.0,0.05,0.0,-,1,1,33.50%,0.26587301587301587,4398.950195
885,SPX231020C04400000,2023-07-10 1:42PM EDT,4400.0,160.22,160.0,161.1,-0.88,-0.55%,16,5861,16.95%,0.40476190476190477,4398.950195
886,SPX231020C04405000,2023-07-06 11:32AM EDT,4405.0,158.13,156.3,157.9,0.0,-,-,3,16.87%,0.40476190476190477,4398.950195
887,SPXW231020C04410000,2023-07-07 3:48PM EDT,4410.0,154.9,153.7,154.1,0.0,-,17,42,16.72%,0.40476190476190477,4398.950195
888,SPX231020C04415000,2023-07-07 10:55AM EDT,4415.0,156.5,149.5,151.1,0.0,-,1,20,16.65%,0.40476190476190477,4398.950195
889,SPXW231020C04420000,2023-07-10 12:49PM EDT,4420.0,145.8,147.2,147.7,-5.5,-3.64%,4,60,16.54%,0.40476190476190477,4398.950195
890,SPX231020C04425000,2023-07-10 12:46PM EDT,4425.0,141.6,143.1,144.5,-10.73,-7.04%,122,1769,16.44%,0.40476190476190477,4398.950195
891,SPXW231020C04430000,2023-07-07 12:46PM EDT,4430.0,160.9,140.7,141.2,0.0,-,4,203,16.34%,0.40476190476190477,4398.950195
892,SPX231020C04435000,2023-06-29 3:06PM EDT,4435.0,130.0,136.3,137.7,0.0,-,20,188,16.21%,0.40476190476190477,4398.950195
893,SPX231020C04440000,2023-07-05 11:28AM EDT,4440.0,164.93,133.2,134.5,0.0,-,1,96,16.10%,0.40476190476190477,4398.950195
894,SPX231020C04445000,2023-07-06 2:30PM EDT,4445.0,136.45,130.3,131.5,0.0,-,2,67,16.02%,0.40476190476190477,4398.950195
895,SPX231020C04450000,2023-07-10 10:05AM EDT,4450.0,130.5,127.1,128.0,-5.76,-4.23%,939,5088,15.88%,0.40476190476190477,4398.950195
896,SPX231020C04455000,2023-07-06 2:28PM EDT,4455.0,130.4,123.8,125.1,0.0,-,116,88,15.80%,0.40476190476190477,4398.950195
897,SPX231020C04460000,2023-07-10 11:43AM EDT,4460.0,119.26,120.8,122.0,-10.68,-8.22%,4,189,15.70%,0.40476190476190477,4398.950195
898,SPX231020C04465000,2023-07-10 10:40AM EDT,4465.0,119.0,118.2,119.3,-6.61,-5.26%,65,25,15.64%,0.40476190476190477,4398.950195
899,SPX231020C04470000,2023-07-07 9:37AM EDT,4470.0,118.85,114.7,115.8,0.0,-,2,32,15.48%,0.40476190476190477,4398.950195
900,SPX231020C04475000,2023-07-05 10:29AM EDT,4475.0,140.22,112.0,113.0,0.0,-,1,3364,15.40%,0.40476190476190477,4398.950195
901,SPX231020C04480000,2023-07-10 12:48PM EDT,4480.0,107.69,109.3,110.2,-9.26,-7.92%,4,177,15.32%,0.40476190476190477,4398.950195
902,SPX231020C04485000,2023-06-30 1:25PM EDT,4485.0,133.02,106.1,107.2,0.0,-,12,6,15.21%,0.40476190476190477,4398.950195
903,SPX231020C04490000,2023-07-10 9:41AM EDT,4490.0,104.32,103.2,104.2,-27.34,-20.77%,2,67,15.10%,0.40476190476190477,4398.950195
904,SPX231020C04495000,2023-07-06 11:05AM EDT,4495.0,103.2,100.7,101.6,0.0,-,-,58,15.03%,0.40476190476190477,4398.950195
905,SPXW231020C04500000,2023-07-10 12:17PM EDT,4500.0,92.95,98.4,99.0,-6.75,-6.77%,32,674,14.95%,0.40476190476190477,4398.950195
906,SPX231020C04505000,2023-07-05 12:30PM EDT,4505.0,120.4,95.0,96.0,0.0,-,14,103,14.83%,0.40476190476190477,4398.950195
907,SPXW231020C04510000,2023-07-07 10:37AM EDT,4510.0,96.7,92.8,93.3,0.0,-,10,305,14.74%,0.40476190476190477,4398.950195
908,SPX231020C04515000,2023-07-07 3:08PM EDT,4515.0,100.5,89.5,90.6,0.0,-,10,152,14.64%,0.40476190476190477,4398.950195
909,SPX231020C04520000,2023-07-05 2:11PM EDT,4520.0,111.5,87.1,88.1,0.0,-,25,94,14.56%,0.40476190476190477,4398.950195
910,SPXW231020C04525000,2023-07-10 10:58AM EDT,4525.0,83.43,85.1,85.5,-5.67,-6.36%,4,325,14.47%,0.40476190476190477,4398.950195
911,SPX231020C04530000,2023-06-30 2:58PM EDT,4530.0,108.36,81.9,82.9,0.0,-,140,137,14.37%,0.40476190476190477,4398.950195
912,SPX231020C04535000,2023-07-07 3:08PM EDT,4535.0,89.7,79.3,80.3,0.0,-,11,76,14.27%,0.40476190476190477,4398.950195
913,SPX231020C04540000,2023-07-07 3:08PM EDT,4540.0,87.1,77.5,78.3,0.0,-,24,62,14.23%,0.40476190476190477,4398.950195
914,SPX231020C04545000,2023-07-06 10:43PM EDT,4545.0,82.9,74.9,75.7,0.0,-,32,39,14.12%,0.40476190476190477,4398.950195
915,SPX231020C04550000,2023-07-10 11:02AM EDT,4550.0,70.64,72.6,73.2,-8.89,-11.18%,9,8405,14.02%,0.40476190476190477,4398.950195
916,SPX231020C04555000,2023-07-06 2:27PM EDT,4555.0,73.4,70.5,71.3,-2.38,-3.14%,1,48,13.98%,0.40476190476190477,4398.950195
917,SPXW231020C04560000,2023-07-10 10:08AM EDT,4560.0,71.6,68.5,69.0,-11.9,-14.25%,1,270,13.89%,0.40476190476190477,4398.950195
918,SPXW231020C04570000,2023-07-07 3:22PM EDT,4570.0,71.5,64.2,64.7,0.0,-,38,449,13.74%,0.40476190476190477,4398.950195
919,SPXW231020C04575000,2023-07-07 3:48PM EDT,4575.0,62.9,62.2,62.7,0.0,-,27,262,13.68%,0.40476190476190477,4398.950195
920,SPXW231020C04580000,2023-07-07 1:51PM EDT,4580.0,73.7,59.9,60.3,0.0,-,6,554,13.56%,0.40476190476190477,4398.950195
921,SPX231020C04585000,2023-07-07 9:37AM EDT,4585.0,61.18,57.3,58.1,0.0,-,4,18,13.46%,0.40476190476190477,4398.950195
922,SPX231020C04590000,2023-07-07 11:06AM EDT,4590.0,60.75,55.2,56.1,0.0,-,26,335,13.39%,0.40476190476190477,4398.950195
923,SPX231020C04600000,2023-07-10 1:41PM EDT,4600.0,51.9,51.8,52.4,-13.1,-20.15%,96,13447,13.25%,0.40476190476190477,4398.950195
924,SPX231020C04610000,2023-07-06 4:07PM EDT,4610.0,54.51,48.0,48.9,0.0,-,4,98,13.13%,0.40476190476190477,4398.950195
925,SPXW231020C04620000,2023-07-07 3:49PM EDT,4620.0,45.9,45.2,45.7,0.0,-,3,344,13.03%,0.40476190476190477,4398.950195
926,SPXW231020C04625000,2023-07-10 10:57AM EDT,4625.0,42.25,43.6,44.0,-12.35,-22.62%,1,335,12.96%,0.40476190476190477,4398.950195
927,SPXW231020C04630000,2023-07-07 10:23AM EDT,4630.0,45.3,42.0,42.5,0.0,-,7,513,12.91%,0.40476190476190477,4398.950195
928,SPX231020C04640000,2023-07-07 10:40AM EDT,4640.0,41.55,38.3,39.1,0.0,-,2,11,12.74%,0.40476190476190477,4398.950195
929,SPX231020C04650000,2023-07-07 3:39PM EDT,4650.0,39.31,35.6,36.2,0.0,-,11,1770,12.62%,0.40476190476190477,4398.950195
930,SPXW231020C04660000,2023-07-07 3:02PM EDT,4660.0,38.8,33.5,33.9,0.0,-,1,235,12.57%,0.40476190476190477,4398.950195
931,SPX231020C04670000,2023-06-27 1:02PM EDT,4670.0,26.6,30.3,31.0,0.0,-,28,96,12.41%,0.40476190476190477,4398.950195
932,SPXW231020C04675000,2023-07-10 10:33AM EDT,4675.0,29.3,29.5,29.9,-0.8,-2.66%,5,317,12.38%,0.40476190476190477,4398.950195
933,SPX231020C04680000,2023-07-03 6:15AM EDT,4680.0,41.8,28.0,28.6,0.0,-,30,249,12.31%,0.40476190476190477,4398.950195
934,SPX231020C04690000,2023-07-06 1:30PM EDT,4690.0,30.38,25.8,26.4,0.0,-,406,516,12.22%,0.40476190476190477,4398.950195
935,SPXW231020C04700000,2023-07-10 10:43AM EDT,4700.0,23.6,24.1,24.6,-8.1,-25.55%,17,612,12.18%,0.40476190476190477,4398.950195
936,SPXW231020C04710000,2023-07-10 12:39PM EDT,4710.0,21.32,22.2,22.7,-8.25,-27.90%,4,318,12.11%,0.40476190476190477,4398.950195
937,SPXW231020C04720000,2023-07-06 11:20AM EDT,4720.0,23.0,20.4,20.8,0.0,-,2,350,12.01%,0.40476190476190477,4398.950195
938,SPXW231020C04725000,2023-07-06 9:40AM EDT,4725.0,22.83,19.5,19.9,0.0,-,4,57,11.97%,0.40476190476190477,4398.950195
939,SPXW231020C04730000,2023-07-03 1:14PM EDT,4730.0,29.8,18.8,19.2,0.0,-,2,326,11.95%,0.40476190476190477,4398.950195
940,SPXW231020C04740000,2023-07-06 9:34AM EDT,4740.0,20.43,17.2,17.6,0.0,-,4,3,11.88%,0.40476190476190477,4398.950195
941,SPXW231020C04750000,2023-07-10 1:29PM EDT,4750.0,15.9,15.6,15.9,-2.14,-11.86%,316,122,11.76%,0.40476190476190477,4398.950195
942,SPXW231020C04770000,2023-07-10 1:29PM EDT,4770.0,13.4,13.2,13.6,-1.8,-11.84%,315,1,11.70%,0.40476190476190477,4398.950195
943,SPXW231020C04775000,2023-07-10 10:23AM EDT,4775.0,13.29,12.6,13.0,-1.26,-8.66%,4,70,11.67%,0.40476190476190477,4398.950195
944,SPX231020C04800000,2023-07-07 10:04AM EDT,4800.0,10.1,9.8,10.2,-2.0,-16.53%,1,3870,11.49%,0.40476190476190477,4398.950195
945,SPXW231020C04825000,2023-07-10 10:13AM EDT,4825.0,8.31,8.0,8.3,-1.59,-16.06%,40,1234,11.44%,0.40476190476190477,4398.950195
946,SPXW231020C04850000,2023-07-10 10:13AM EDT,4850.0,6.77,6.3,6.5,0.17,+2.58%,40,1155,11.32%,0.40476190476190477,4398.950195
947,SPX231020C04875000,2023-07-10 1:24PM EDT,4875.0,4.87,4.8,5.2,-1.85,-27.53%,15,151,11.27%,0.40476190476190477,4398.950195
948,SPX231020C04900000,2023-07-10 12:00PM EDT,4900.0,3.6,3.8,4.1,-1.15,-24.21%,3,2158,11.21%,0.40476190476190477,4398.950195
949,SPX231020C04925000,2023-07-10 12:48PM EDT,4925.0,3.15,3.1,3.3,-0.9,-22.22%,3,5,11.20%,0.40476190476190477,4398.950195
950,SPX231020C04950000,2023-07-06 11:21AM EDT,4950.0,3.3,2.45,2.65,0.0,-,24,383,11.20%,0.40476190476190477,4398.950195
951,SPX231020C04975000,2023-07-06 2:00PM EDT,4975.0,2.7,2.0,2.2,0.0,-,75,489,11.27%,0.40476190476190477,4398.950195
952,SPXW231020C05000000,2023-07-07 3:51PM EDT,5000.0,1.8,1.65,1.8,0.0,-,28,113,11.31%,0.40476190476190477,4398.950195
953,SPX231020C05050000,2023-07-10 11:28AM EDT,5050.0,1.2,1.1,1.25,-0.87,-42.03%,3,480,11.46%,0.40476190476190477,4398.950195
954,SPX231020C05100000,2023-07-10 12:05PM EDT,5100.0,0.77,0.75,0.95,-0.78,-50.32%,51,5384,11.75%,0.40476190476190477,4398.950195
955,SPXW231020C05200000,2023-06-30 2:12PM EDT,5200.0,0.95,0.45,0.55,0.0,-,2,5,12.28%,0.40476190476190477,4398.950195
956,SPXW231020C05300000,2023-06-16 9:56AM EDT,5300.0,1.25,0.25,0.35,0.0,-,1,1,12.88%,0.40476190476190477,4398.950195
957,SPX231020C05400000,2023-07-05 12:21PM EDT,5400.0,0.31,0.15,0.25,0.0,-,2,282,13.58%,0.40476190476190477,4398.950195
958,SPXW231020C05500000,2023-06-23 3:54PM EDT,5500.0,0.15,0.1,0.2,0.0,-,10,31,14.37%,0.40476190476190477,4398.950195
959,SPX231020C05600000,2023-07-07 12:17PM EDT,5600.0,0.05,0.05,0.15,0.0,-,1,2894,15.04%,0.40476190476190477,4398.950195
960,SPX231020C05700000,2023-07-10 11:59AM EDT,5700.0,0.1,0.05,0.15,0.05,+100.00%,2,115,16.04%,0.40476190476190477,4398.950195
961,SPX231020C05800000,2023-07-10 1:24PM EDT,5800.0,0.07,0.0,0.1,-0.03,-30.00%,6,520,16.46%,0.40476190476190477,4398.950195
962,SPXW231020C06000000,2023-06-09 11:29AM EDT,6000.0,0.05,0.0,0.15,0.0,-,10,90,18.90%,0.40476190476190477,4398.950195
963,SPX231020C06200000,2023-07-10 12:00PM EDT,6200.0,0.07,0.0,0.1,-0.01,-12.50%,2,250,20.04%,0.40476190476190477,4398.950195
964,SPX231020C06400000,2023-06-06 3:13PM EDT,6400.0,0.06,0.0,0.1,0.0,-,8,382,21.73%,0.40476190476190477,4398.950195
965,SPXW231020C06600000,2023-05-25 10:39AM EDT,6600.0,0.07,0.0,0.1,0.0,-,-,2,23.34%,0.40476190476190477,4398.950195
966,SPX231020C06800000,2023-07-10 12:01PM EDT,6800.0,0.05,0.0,0.05,-0.02,-28.57%,4,417,23.73%,0.40476190476190477,4398.950195
1099,SPX231117C04400000,2023-07-10 11:47AM EDT,4400.0,182.9,188.2,189.5,-17.09,-8.55%,7,2531,17.73%,0.5158730158730159,4398.950195
1100,SPXW231117C04410000,2023-07-06 11:37AM EDT,4410.0,183.73,181.7,182.4,0.0,-,24,78,17.51%,0.5158730158730159,4398.950195
1101,SPXW231117C04420000,2023-07-10 9:55AM EDT,4420.0,173.14,175.4,176.0,-9.66,-5.28%,4,10,17.35%,0.5158730158730159,4398.950195
1102,SPX231117C04425000,2023-07-07 10:46AM EDT,4425.0,175.5,170.9,172.6,0.0,-,130,580,17.25%,0.5158730158730159,4398.950195
1103,SPXW231117C04430000,2023-07-07 9:56AM EDT,4430.0,178.21,168.6,169.3,0.0,-,4,65,17.15%,0.5158730158730159,4398.950195
1104,SPXW231117C04440000,2023-07-07 10:14AM EDT,4440.0,170.72,162.1,162.7,0.0,-,48,54,16.96%,0.5158730158730159,4398.950195
1105,SPXW231117C04450000,2023-07-10 12:00PM EDT,4450.0,151.91,155.5,156.1,-19.11,-11.17%,1,37,16.75%,0.5158730158730159,4398.950195
1106,SPX231117C04460000,2023-07-07 3:23PM EDT,4460.0,159.8,148.5,150.2,0.0,-,17,125,16.61%,0.5158730158730159,4398.950195
1107,SPX231117C04470000,2023-07-06 10:19AM EDT,4470.0,144.3,142.3,143.9,0.0,-,77,519,16.41%,0.5158730158730159,4398.950195
1108,SPXW231117C04475000,2023-06-29 2:36PM EDT,4475.0,131.26,140.2,140.8,0.0,-,-,4,16.32%,0.5158730158730159,4398.950195
